어종명,연도,월,총마릿수,총중량(kg)
망둑어류,2023,03,0.0,0.0
망둑어류,2023,04,0.0,0.0
망둑어류,2023,05,0.0,0.0
망둑어류,2023,06,0.0,0.0
망둑어류,2023,07,0.0,0.0
망둑어류,2023,08,12424.0,495.3
망둑어류,2023,09,20019.0,1590.7
망둑어류,2023,10,12822.0,2101.4
망둑어류,2023,11,9532.0,2735.6
망둑어류,2023,12,1202.0,121.8
망둑어류,2024,01,158.0,29.8
망둑어류,2024,02,0.0,0.0
망둑어류,2024,03,84.0,8.4
망둑어류,2024,04,0.0,0.0
망둑어류,2024,05,0.0,0.0
망둑어류,2024,06,768.0,153.5
망둑어류,2024,07,0.0,0.0
망둑어류,2024,08,5350.0,726.1
망둑어류,2024,09,16071.0,2115.1
망둑어류,2024,10,23876.0,3858.8
멸치,2023,01,0.0,0.0
멸치,2023,02,0.0,0.0
멸치,2023,03,0.0,0.0
멸치,2023,04,0.0,0.0
멸치,2023,05,0.0,0.0
멸치,2023,06,0.0,0.0
멸치,2023,07,0.0,0.0
멸치,2023,08,3.0,0.3
멸치,2023,09,0.0,0.0
멸치,2023,10,0.0,0.0
멸치,2023,11,0.0,0.0
멸치,2023,12,0.0,0.0
멸치,2024,01,0.0,0.0
멸치,2024,02,0.0,0.0
멸치,2024,03,0.0,0.0
멸치,2024,04,0.0,0.0
멸치,2024,05,0.0,0.0
멸치,2024,06,0.0,0.0
멸치,2024,07,0.0,0.0
멸치,2024,08,0.0,0.0
멸치,2024,09,0.0,0.0
멸치,2024,10,0.0,0.0
민어,2023,01,0.0,0.0
민어,2023,02,0.0,0.0
민어,2023,03,26.0,63.8
민어,2023,04,281.0,541.9
민어,2023,05,1498.0,3082.9
민어,2023,06,5388.0,9004.5
민어,2023,07,8056.0,11119.0
민어,2023,08,10439.0,13362.0
민어,2023,09,3264.0,4480.5
민어,2023,10,4329.0,6820.9
민어,2023,11,79.0,88.9
민어,2023,12,0.0,0.0
민어,2024,01,0.0,0.0
민어,2024,02,0.0,0.0
민어,2024,03,9.0,12.9
민어,2024,04,0.0,0.0
민어,2024,05,418.0,1735.4
민어,2024,06,6163.0,14528.5
민어,2024,07,4067.0,12717.9
민어,2024,08,1955.0,4852.5
민어,2024,09,152.0,313.3
민어,2024,10,914.0,2350.2
반지,2023,01,0.0,0.0
반지,2023,02,0.0,0.0
반지,2023,03,0.0,0.0
반지,2023,04,0.0,0.0
반지,2023,05,0.0,0.0
반지,2023,06,0.0,0.0
반지,2023,07,0.0,0.0
반지,2023,08,0.0,0.0
반지,2023,09,0.0,0.0
반지,2023,10,0.0,0.0
반지,2023,11,0.0,0.0
반지,2023,12,0.0,0.0
반지,2024,01,0.0,0.0
반지,2024,02,0.0,0.0
반지,2024,03,0.0,0.0
반지,2024,04,0.0,0.0
반지,2024,05,0.0,0.0
반지,2024,06,1.0,0.2
반지,2024,07,0.0,0.0
반지,2024,08,0.0,0.0
반지,2024,09,0.0,0.0
반지,2024,10,0.0,0.0
방어류,2023,01,9909.0,22256.7
방어류,2023,02,5351.0,12158.6
방어류,2023,03,9771.0,28928.0
방어류,2023,04,6901.0,20464.2
방어류,2023,05,7151.0,19328.7
방어류,2023,06,7499.0,16565.9
방어류,2023,07,14278.0,29697.6
방어류,2023,08,8758.0,16529.4
방어류,2023,09,10383.0,17949.7
방어류,2023,10,24584.0,56198.5
방어류,2023,11,30748.0,80626.6
방어류,2023,12,29031.0,112584.7
방어류,2024,01,13402.0,45641.1
방어류,2024,02,5272.0,18207.7
방어류,2024,03,5059.0,15717.2
방어류,2024,04,6799.0,20356.3
방어류,2024,05,5980.0,13773.3
방어류,2024,06,8780.0,22678.2
방어류,2024,07,9883.0,26264.3
방어류,2024,08,15585.0,36246.1
방어류,2024,09,16140.0,41876.3
방어류,2024,10,21596.0,50596.3
밴댕이류,2023,01,0.0,0.0
밴댕이류,2023,02,0.0,0.0
밴댕이류,2023,03,0.0,0.0
밴댕이류,2023,04,0.0,0.0
밴댕이류,2023,05,0.0,0.0
밴댕이류,2023,06,99.0,19.8
밴댕이류,2023,07,0.0,0.0
밴댕이류,2023,08,0.0,0.0
밴댕이류,2023,09,0.0,0.0
밴댕이류,2023,10,0.0,0.0
밴댕이류,2023,11,0.0,0.0
밴댕이류,2023,12,0.0,0.0
밴댕이류,2024,01,0.0,0.0
밴댕이류,2024,02,0.0,0.0
밴댕이류,2024,03,0.0,0.0
밴댕이류,2024,04,0.0,0.0
밴댕이류,2024,05,0.0,0.0
밴댕이류,2024,06,0.0,0.0
밴댕이류,2024,07,0.0,0.0
밴댕이류,2024,08,0.0,0.0
밴댕이류,2024,09,0.0,0.0
밴댕이류,2024,10,0.0,0.0
병어류,2023,01,0.0,0.0
병어류,2023,02,0.0,0.0
병어류,2023,03,0.0,0.0
병어류,2023,04,0.0,0.0
병어류,2023,05,0.0,0.0
병어류,2023,06,708.0,402.2
병어류,2023,07,152.0,53.3
병어류,2023,08,0.0,0.0
병어류,2023,09,0.0,0.0
병어류,2023,10,0.0,0.0
병어류,2023,11,0.0,0.0
병어류,2023,12,0.0,0.0
병어류,2024,01,0.0,0.0
병어류,2024,02,0.0,0.0
병어류,2024,03,0.0,0.0
병어류,2024,04,0.0,0.0
병어류,2024,05,0.0,0.0
병어류,2024,06,32.0,30.3
병어류,2024,07,0.0,0.0
병어류,2024,08,0.0,0.0
병어류,2024,09,0.0,0.0
병어류,2024,10,0.0,0.0
보구치,2023,01,0.0,0.0
보구치,2023,02,0.0,0.0
보구치,2023,03,0.0,0.0
보구치,2023,04,1086.0,546.7
보구치,2023,05,12763.0,5541.6
보구치,2023,06,164182.0,58197.1
보구치,2023,07,790246.0,215782.6
보구치,2023,08,1297829.0,338962.9
보구치,2023,09,5270.0,1082.9
보구치,2023,10,1645.0,412.6
보구치,2023,11,534.0,158.4
보구치,2023,12,0.0,0.0
보구치,2024,01,0.0,0.0
보구치,2024,02,364.0,186.5
보구치,2024,03,189.0,102.8
보구치,2024,04,390.0,101.8
보구치,2024,05,41603.0,12199.1
보구치,2024,06,344194.0,72575.9
보구치,2024,07,315362.0,68053.0
보구치,2024,08,561495.0,101747.2
보구치,2024,09,621.0,139.2
보구치,2024,10,261.0,73.0
복어류,2023,01,12.0,2.4
복어류,2023,02,36.0,4.4
복어류,2023,03,51.0,6.4
복어류,2023,04,216.0,25.0
복어류,2023,05,465.0,82.1
복어류,2023,06,535.0,602.2
복어류,2023,07,109.0,10.1
복어류,2023,08,126.0,68.5
복어류,2023,09,153.0,103.0
복어류,2023,10,2735.0,1986.1
복어류,2023,11,457.0,438.3
복어류,2023,12,103.0,33.6
복어류,2024,01,48.0,24.0
복어류,2024,02,105.0,22.3
복어류,2024,03,0.0,0.0
복어류,2024,04,89.0,23.3
복어류,2024,05,804.0,45.5
복어류,2024,06,89.0,31.0
복어류,2024,07,118.0,30.2
복어류,2024,08,41.0,10.4
복어류,2024,09,40435.0,1451.5
복어류,2024,10,86.0,52.5
옥돔류,2023,01,6.0,6.8
옥돔류,2023,02,0.0,0.0
옥돔류,2023,03,13.0,6.6
옥돔류,2023,04,51.0,33.0
옥돔류,2023,05,37.0,29.3
옥돔류,2023,06,0.0,0.0
옥돔류,2023,07,0.0,0.0
옥돔류,2023,08,0.0,0.0
옥돔류,2023,09,0.0,0.0
옥돔류,2023,10,13.0,23.4
옥돔류,2023,11,5.0,2.6
옥돔류,2023,12,7.0,2.2
옥돔류,2024,01,69.0,27.4
옥돔류,2024,02,0.0,0.0
옥돔류,2024,03,3.0,2.3
옥돔류,2024,04,37.0,21.2
옥돔류,2024,05,55.0,35.2
옥돔류,2024,06,26.0,12.0
옥돔류,2024,07,10.0,4.8
옥돔류,2024,08,0.0,0.0
옥돔류,2024,09,21.0,5.2
옥돔류,2024,10,42.0,13.0
자리돔,2023,01,0.0,0.0
자리돔,2023,02,1135.0,52.9
자리돔,2023,03,56.0,5.6
자리돔,2023,04,1169.0,95.1
자리돔,2023,05,4158.0,363.8
자리돔,2023,06,3227.0,318.3
자리돔,2023,07,473.0,33.3
자리돔,2023,08,926.0,58.4
자리돔,2023,09,2516.0,66.2
자리돔,2023,10,3700.0,152.6
자리돔,2023,11,2325.0,71.9
자리돔,2023,12,2072.0,117.0
자리돔,2024,01,2407.0,132.7
자리돔,2024,02,1534.0,89.3
자리돔,2024,03,1524.0,96.3
자리돔,2024,04,3270.0,217.4
자리돔,2024,05,10656.0,545.5
자리돔,2024,06,6522.0,384.3
자리돔,2024,07,3881.0,237.9
자리돔,2024,08,5277.0,367.7
자리돔,2024,09,3458.0,267.5
자리돔,2024,10,2478.0,175.8
참다랑어,2023,01,0.0,0.0
참다랑어,2023,02,0.0,0.0
참다랑어,2023,03,0.0,0.0
참다랑어,2023,04,0.0,0.0
참다랑어,2023,05,0.0,0.0
참다랑어,2023,06,25.0,49.6
참다랑어,2023,07,9.0,25.8
참다랑어,2023,08,12.0,25.6
참다랑어,2023,09,20.0,14.0
참다랑어,2023,10,167.0,443.4
참다랑어,2023,11,82.0,197.8
참다랑어,2023,12,43.0,70.7
참다랑어,2024,01,24.0,54.1
참다랑어,2024,02,13.0,43.5
참다랑어,2024,03,0.0,0.0
참다랑어,2024,04,9.0,16.6
참다랑어,2024,05,0.0,0.0
참다랑어,2024,06,6.0,14.0
참다랑어,2024,07,5.0,9.4
참다랑어,2024,08,67.0,114.3
참다랑어,2024,09,172.0,487.2
참다랑어,2024,10,100.0,177.7
참돔,2023,01,36498.0,29234.0
참돔,2023,02,34080.0,27719.4
참돔,2023,03,25287.0,17500.8
참돔,2023,04,26291.0,17249.9
참돔,2023,05,50667.0,42724.3
참돔,2023,06,52813.0,60658.2
참돔,2023,07,44895.0,36433.8
참돔,2023,08,44129.0,41262.7
참돔,2023,09,33924.0,30495.9
참돔,2023,10,46579.0,27659.6
참돔,2023,11,42597.0,32275.4
참돔,2023,12,47967.0,42179.1
참돔,2024,01,39357.0,36244.4
참돔,2024,02,30806.0,19230.7
참돔,2024,03,47587.0,45446.2
참돔,2024,04,35375.0,35960.0
참돔,2024,05,49791.0,63940.7
참돔,2024,06,61271.0,57344.1
참돔,2024,07,25169.0,24115.7
참돔,2024,08,44108.0,35486.2
참돔,2024,09,28460.0,21816.2
참돔,2024,10,42275.0,37126.3
학공치,2023,01,15531.0,1362.7
학공치,2023,02,7536.0,613.8
학공치,2023,03,7792.0,493.5
학공치,2023,04,0.0,0.0
학공치,2023,05,0.0,0.0
학공치,2023,06,0.0,0.0
학공치,2023,07,167.0,33.4
학공치,2023,08,326.0,35.7
학공치,2023,09,0.0,0.0
학공치,2023,10,6348.0,1856.5
학공치,2023,11,0.0,0.0
학공치,2023,12,41656.0,2188.6
학공치,2024,01,67004.0,5419.9
학공치,2024,02,51234.0,4415.3
학공치,2024,03,16260.0,1775.6
학공치,2024,04,2338.0,441.5
학공치,2024,05,0.0,0.0
학공치,2024,06,0.0,0.0
학공치,2024,07,0.0,0.0
학공치,2024,08,1183.0,201.1
학공치,2024,09,4220.0,248.0
학공치,2024,10,4049.0,795.5
기타류,2023,1,0.0,0.0
기타류,2023,2,0.0,0.0
기타류,2023,3,0.0,0.0
기타류,2023,4,0.0,0.0
기타류,2023,5,0.0,0.0
기타류,2023,6,0.0,0.0
기타류,2023,7,0.0,0.0
기타류,2023,8,0.0,0.0
기타류,2023,9,0.0,0.0
기타류,2023,10,0.0,0.0
기타류,2023,11,0.0,0.0
기타류,2023,12,0.0,0.0
기타류,2024,1,0.0,0.0
기타류,2024,2,0.0,0.0
기타류,2024,3,0.0,0.0
기타류,2024,4,0.0,0.0
기타류,2024,5,0.0,0.0
기타류,2024,6,0.0,0.0
기타류,2024,7,0.0,0.0
기타류,2024,8,0.0,0.0
기타류,2024,9,0.0,0.0
기타류,2024,10,0.0,0.0
